Temperament,Life Expectancy,AKC Breed Popularity,Weight,name,Height,url
"Adaptable, Friendly, Gentle",12-14 years,Ranks 59 of 195,"45-65 pounds (male), 35-50 pounds (female)",Samoyed,"21-23.5 inches (male), 19-21 inches (female)",https://www.akc.org/dog-breeds/samoyed/
"Friendly, Watchful, Lively",12-15 years,,26-55 pounds,Schapendoes,16-20 inches,https://www.akc.org/dog-breeds/schapendoes/
"Confident, Alert, Curious",12-14 years,Ranks 105 of 195,10-16 pounds,Schipperke,"11-13 inches (male), 10-12 inches (female)",https://www.akc.org/dog-breeds/schipperke/
"Gentle, Dignified, Polite",8-11 years,Ranks 158 of 195,"85-110 pounds (male), 75-95 pounds (female)",Scottish Deerhound,"30-32 inches (male), 28 inches & up (female)",https://www.akc.org/dog-breeds/scottish-deerhound/
"Confident, Independent, Spirited",12 years,Ranks 57 of 195,"19-22 pounds (male), 18-21 pounds (female)",Scottish Terrier,10 inches,https://www.akc.org/dog-breeds/scottish-terrier/
"Alert, Outgoing, Sense Of Humor",12-14 years,Ranks 164 of 195,"23-24 pounds (male), slightly less (females)",Sealyham Terrier,10.5 inches,https://www.akc.org/dog-breeds/sealyham-terrier/
"Friendly, Intelligent, Eager to Please",11-13 years,,40-60 pounds,Segugio Italiano,19-23 inches,https://www.akc.org/dog-breeds/segugio-italiano/
"Playful, Energetic, Bright",12-14 years,Ranks 25 of 195,15-25 pounds,Shetland Sheepdog,13-16 inches,https://www.akc.org/dog-breeds/shetland-sheepdog/
"Alert, Active, Attentive",13-16 years,Ranks 44 of 195,"23 pounds (male), 17 pounds (female)",Shiba Inu,"14.5-16.5 inches (male), 13.5-15.5 inches (female)",https://www.akc.org/dog-breeds/shiba-inu/
"Affectionate, Playful, Outgoing",10-18 years,Ranks 20 of 195,9-16 pounds,Shih Tzu,9-10.5 inches,https://www.akc.org/dog-breeds/shih-tzu/
"Energetic, Alert, Enthusiastic",10-12 years,,35-55 pounds,Shikoku,17-22 inches,https://www.akc.org/dog-breeds/shikoku/
"Loyal, Mischievous, Outgoing",12-14 years,Ranks 14 of 195,"45-60 pounds (male), 35-50 pounds (female)",Siberian Husky,"21-23.5 inches (male), 20-22 inches (female)",https://www.akc.org/dog-breeds/siberian-husky/
"Friendly, Quick, Keenly Alert",13-15 years,Ranks 112 of 195,around 10 pounds,Silky Terrier,9-10 inches,https://www.akc.org/dog-breeds/silky-terrier/
"Courageous, Good-Tempered, Canny",12-14 years,Ranks 178 of 195,"35-45 pounds (male), slightly lighter (female)",Skye Terrier,"10 inches (male), 9.5 inches (female)",https://www.akc.org/dog-breeds/skye-terrier/
"Reserved, Graceful, Noble",10-15 years,Ranks 192 of 195,35-50 pounds,Sloughi,"26-29 inches (male), 24-27 inches (female)",https://www.akc.org/dog-breeds/sloughi/
,12-15 years,,50-65 lbs,Slovakian Wirehaired Pointer,"24.5-26.5 in (male), 22.5-26 in (female)",https://www.akc.org/dog-breeds/slovakian-wirehaired-pointer/
"Courageous, Alert, Faithful",11-13 years,,68-97 pounds,Slovensky Cuvac,23-27.5 inches,https://www.akc.org/dog-breeds/slovensky-cuvac/
"Courageous, Alert, Determined",12-13 years,,33-44 pounds,Slovensky Kopov,16-20 inches,https://www.akc.org/dog-breeds/slovensky-kopov/
"Intelligent, Devoted, Self-Confident",12 to 14 years,,40-60 pounds,Small Munsterlander Pointer,20.5-21 inches,https://www.akc.org/dog-breeds/small-munsterlander-pointer/
"Friendly, Independent, Amusing",12-15 years,Ranks 123 of 195,"18 pounds (male), 15-17 (female)",Smooth Fox Terrier,15½ inches,https://www.akc.org/dog-breeds/smooth-fox-terrier/
"Friendly, Happy, Deeply Devoted",12-14 years,Ranks 53 of 195,"35-40 pounds (male), 30-35 pounds (female)",Soft Coated Wheaten Terrier,"18-19 inches (male), 17-18 inches (female)",https://www.akc.org/dog-breeds/soft-coated-wheaten-terrier/
"Affectionate, Intelligent, Kind",10-12 years,,140-200 pounds,Spanish Mastiff,Minimum 28-35 inches,https://www.akc.org/dog-breeds/spanish-mastiff/
Playful but also Work-Oriented. Very Active and Upbeat.,12-14 years,Ranks 153 of 195,"40-49 pounds (male), 31-40 pounds (female)",Spanish Water Dog,"17.5-19.75 inches (male), 15.75-18 inches (female)",https://www.akc.org/dog-breeds/spanish-water-dog/
"Sociable, Patient, Docile",10-12 years,Ranks 109 of 195,,Spinone Italiano,"23-27 inches (male), 22-25 inches (female)",https://www.akc.org/dog-breeds/spinone-italiano/
"Intelligent, Responsive, Loving",13-15 years,,40-60 pounds,Stabyhoun,19-21 inches,https://www.akc.org/dog-breeds/stabyhoun/
"Clever, Brave, Tenacious",12-14 years,Ranks 80 of 195,"28-38 pounds (male), 24-34 pounds (female)",Staffordshire Bull Terrier,14-16 inches,https://www.akc.org/dog-breeds/staffordshire-bull-terrier/
"Fearless, Smart, Spirited",13-16 years,Ranks 89 of 195,"35-50 pounds (male), 30-45 pounds (female)",Standard Schnauzer,"18.5-19.5 inches (male), 17.5-18.5 inches (female)",https://www.akc.org/dog-breeds/standard-schnauzer/
"Friendly, Merry, Even-Tempered",13-15 years,Ranks 180 of 195,35-45 pounds,Sussex Spaniel,13-15 inches,https://www.akc.org/dog-breeds/sussex-spaniel/
"Playful, Intelligent, Lively",12-14 years,,30-45 pounds,Swedish Lapphund,16-20 inches,https://www.akc.org/dog-breeds/swedish-lapphund/
"Friendly, Energetic, Watchful",12-15 years,Ranks 169 of 195,20-35 pounds,Swedish Vallhund,"12.5-13.75 inches (male), 11.5-12.75 inches (female)",https://www.akc.org/dog-breeds/swedish-vallhund/
"Loyal, Versatile, Intelligent",9-13 years,,26-40 pounds,Taiwan Dog,17-20 inches,https://www.akc.org/dog-breeds/taiwan-dog/
"Playful, Versatile, Intelligent",14-16 years,,8-25 pounds,Teddy Roosevelt Terrier,8-15 inches,https://www.akc.org/dog-breeds/teddy-roosevelt-terrier/
"Loyal, Independent, Agile",12-13 years,,35-75 pounds,Thai Ridgeback,20-24 inches,https://www.akc.org/dog-breeds/thai-ridgeback/
"Independent, Reserved, Intelligent",10-12 years,Ranks 131 of 195,"90-150 pounds (male), 70-120 pounds (female)",Tibetan Mastiff,"minimum 26 inches (male), minimum 24 inches (female)",https://www.akc.org/dog-breeds/tibetan-mastiff/
"Playful, Bright, Self-Confident",12-15 years,Ranks 119 of 195,9-15 pounds,Tibetan Spaniel,10 inches,https://www.akc.org/dog-breeds/tibetan-spaniel/
"Affectionate, Loyal, Sensitive",15-16 years,Ranks 96 of 195,"18-30 pounds (male), slightly smaller (female)",Tibetan Terrier,14-17 inches,https://www.akc.org/dog-breeds/tibetan-terrier/
"Friendly, Courageous, Intelligent",12-14 years,,62-110 pounds,Tornjak,23-28 inches,https://www.akc.org/dog-breeds/tornjak/
"Fearless, Patient, Vigilant",10-12 years,,100-200 pounds,Tosa,Minimum 21.5-23.5 inches,https://www.akc.org/dog-breeds/tosa/
"Friendly, Alert, Intelligent",13-15 years,Ranks 111 of 195,3.5-7 pounds,Toy Fox Terrier,8.5-11.5 inches,https://www.akc.org/dog-breeds/toy-fox-terrier/
"Courageous, Good-Natured, Determined",10-14 years,,Minimum 55 pounds,Transylvanian Hound,22-26 inches,https://www.akc.org/dog-breeds/transylvanian-hound/
"Friendly, Alert, Intelligent",10-12 years,,30-50 pounds,Treeing Tennessee Brindle,16-24 inches,https://www.akc.org/dog-breeds/treeing-tennessee-brindle/
"Smart, Brave, Courteous",12-13 years,Ranks 137 of 195,50-70 pounds,Treeing Walker Coonhound,"22-27 inches (male), 20-25 inches (female)",https://www.akc.org/dog-breeds/treeing-walker-coonhound/
"Affectionate, Gentle, Energetic",12-14 years,Ranks 31 of 195,"55-60 pounds (male), 44-55 pounds (female)",Vizsla,"22-24 inches (male), 21-23 inches (female)",https://www.akc.org/dog-breeds/vizsla/
"Friendly, Fearless, Obedient",10-13 years,Ranks 36 of 195,"70-90 pounds (male), 55-75 pounds (female)",Weimaraner,"25-27 inches (male), 23-25 inches (female)",https://www.akc.org/dog-breeds/weimaraner/
"Happy, Reserved, Upbeat",12-15 years,Ranks 128 of 195,"40-55 pounds (male), 35-50 pounds (female)",Welsh Springer Spaniel,"18-19 inches (male), 17-18 inches (female)",https://www.akc.org/dog-breeds/welsh-springer-spaniel/
"Friendly, Spirited, Intelligent",12-15 years,Ranks 107 of 195,"20 pounds, porportionally smaller (female)",Welsh Terrier,"15 inches (male), porportionally smaller (female)",https://www.akc.org/dog-breeds/welsh-terrier/
"Loyal, Happy, Entertaining",13-15 years,Ranks 42 of 195,15-20 pounds,West Highland White Terrier,"11 inches (male). 10 inches, female",https://www.akc.org/dog-breeds/west-highland-white-terrier/
"Loyal, Good-Natured, Intelligent",13 years,,50-75 pounds,Wetterhoun,"23 inches (male), 21. 5 inches (female)",https://www.akc.org/dog-breeds/wetterhoun/
"Affectionate, Playful, Calm",12-15 years,Ranks 61 of 195,25-40 pounds,Whippet,"19-22 inches (male), 18-21 inches (female)",https://www.akc.org/dog-breeds/whippet/
"Confident, Alert, Gregarious",12-15 years,Ranks 101 of 195,"18 pounds (male), 15-17 (female)",Wire Fox Terrier,15½ inches,https://www.akc.org/dog-breeds/wire-fox-terrier/
"Friendly, Devoted, Trainable",12-15 years,Ranks 65 of 195,"50-70 pounds (male), 35-50 pounds (female)",Wirehaired Pointing Griffon,"22-24 inches (male), 20-22 inches (female)",https://www.akc.org/dog-breeds/wirehaired-pointing-griffon/
"Gentle, Loyal, Trainable",12-14 years,Ranks 167 of 195,"55-65 pounds (male), 45-55 pounds (female)",Wirehaired Vizsla,"23-25 inches (male), 21.5-23 inches (female)",https://www.akc.org/dog-breeds/wirehaired-vizsla/
"Alert, Eager, Intelligent",12-15 years,,28-60 pounds,Working Kelpie,19-25 inches,https://www.akc.org/dog-breeds/working-kelpie/
"Loyal, Alert, Calm",13-18 years,Ranks 140 of 195,"10-15 pounds (toy), 15-30 pounds (miniature), 30-55 pounds (standard)",Xoloitzcuintli,"10-14 inches (toy), 14-18 inches (miniature), 18-23 inches (standard)",https://www.akc.org/dog-breeds/xoloitzcuintli/
"Affectionate, Intelligent, Active",10-12 years,,40-55 pounds,Yakutian Laika,21-23 inches,https://www.akc.org/dog-breeds/yakutian-laika/
"Affectionate, Sprightly, Tomboyish",11-15 years,Ranks 10 of 195,7 pounds,Yorkshire Terrier,7-8 inches,https://www.akc.org/dog-breeds/yorkshire-terrier/
